City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,The Valley,AI,18.217,-63.0578,84.2,65,20,14.97,few clouds
238,Manica,FR,49.0,-1.1667,42.8,70,0,3.44,clear sky
239,Zonguldak,TR,41.25,31.8333,45.63,98,45,5.32,scattered clouds
240,Codrington,AU,-38.2667,141.9667,63.48,89,100,5.26,overcast clouds
241,Constitucion,CL,-35.3333,-72.4167,68.76,57,7,13.49,clear sky
242,Boende,CD,-0.2167,20.8667,71.17,95,23,1.81,few clouds
243,Nova Zagora,BG,42.4833,26.0167,39.2,100,90,4.61,overcast clouds
244,Ouadda,CF,8.0777,22.4007,74.03,60,100,3.4,overcast clouds
245,Nizwa,OM,22.9333,57.5333,74.16,24,0,2.21,clear sky
246,Maarianhamina,AX,60.0973,19.9348,37.4,81,90,2.3,overcast clouds
247,Bilma,NE,18.6853,12.9164,91.49,12,0,9.98,clear sky
248,Albion,US,42.2431,-84.753,66.99,32,40,11.5,scattered clouds
249,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,63,75,6.91,broken clouds
250,Raga,SS,8.4596,25.678,78.84,62,23,6.51,few clouds
251,Aksarka,RU,66.5606,67.7975,-4.65,100,100,2.98,overcast clouds
252,Pithapuram,IN,17.1167,82.2667,75.79,68,2,1.86,clear sky
253,Amapa,BR,1.0,-52.0,77.43,95,76,2.95,very heavy rain
254,Gravdal,NO,68.1214,13.5031,41.0,81,75,5.75,broken clouds
255,Chicama,PE,-7.8447,-79.1469,75.2,78,20,8.05,few clouds
256,Wawa,NG,9.9022,4.4192,92.26,17,75,1.7,broken clouds
257,Mainburg,DE,48.65,11.7833,39.2,65,75,6.91,broken clouds
258,Barcelona,ES,41.3888,2.159,55.99,76,0,3.44,clear sky
259,Kurali,IN,30.8315,76.5785,67.03,41,100,3.76,overcast clouds
260,Saint-Augustin,CA,51.226,-58.6502,37.29,99,100,9.51,overcast clouds
261,Windhoek,NA,-22.5594,17.0832,69.01,73,45,3.44,light rain
262,Lundazi,ZM,-12.2929,33.1782,64.0,94,97,5.91,overcast clouds
263,Raudeberg,NO,61.9875,5.1352,45.0,95,98,22.59,overcast clouds
264,Kazanskaya,RU,45.4106,40.4361,43.0,46,100,9.26,overcast clouds
265,Morristown,US,36.214,-83.2949,68.0,28,1,9.22,clear sky
266,Thompson,CA,55.7435,-97.8558,24.8,50,75,14.97,broken clouds
267,Kavaratti,IN,10.5669,72.642,82.38,73,96,7.38,overcast clouds
268,Peniche,PT,39.3558,-9.3811,55.0,80,0,6.53,clear sky
269,Hambantota,LK,6.1241,81.1185,78.49,84,100,8.63,overcast clouds
270,Kukes,AL,42.0769,20.4219,29.03,92,100,5.88,overcast clouds
271,Nuuk,GL,64.1835,-51.7216,21.2,68,90,12.66,overcast clouds
272,Rajanpur,PK,29.1035,70.325,66.18,64,100,15.23,overcast clouds
273,Kuryk,KZ,43.2,51.65,42.04,64,0,5.99,clear sky
274,Moroni,KM,-11.7022,43.2551,80.69,76,16,1.36,few clouds
275,Oistins,BB,13.0667,-59.5333,82.4,54,20,19.57,few clouds
276,Buncrana,IE,55.1333,-7.45,50.0,76,90,14.97,overcast clouds
277,Kastamonu,TR,41.5,33.6667,47.39,76,63,7.9,broken clouds
278,Lovozero,RU,68.005,35.0117,15.51,86,37,9.17,scattered clouds
279,Cacador,BR,-26.7753,-51.015,72.93,95,100,1.7,light rain
280,Cidreira,BR,-30.1811,-50.2056,74.98,68,100,9.22,overcast clouds
281,Mbuji-Mayi,CD,-6.15,23.6,70.52,93,100,2.17,overcast clouds
